lon,lat
-124.3365,40.5373333
-64.5783,18.4166
-151.528,62.5652
-120.8313333,36.6621667
-145.3526,63.3308
-64.6468333333333,19.497
-152.1452,61.4331
-155.3463,58.1614
-151.9861,60.6722
-118.839,37.476
-149.3608,63.7369
-116.259,33.886
-121.0366667,36.4618333
-121.84116666666667,47.161833333333334
-122.1736667,38.1161667
-152.3714,59.7839
-112.1776667,41.4993333
-97.83816667,36.10333333
-120.8291667,35.6036667
-121.69333333333333,48.300666666666665
-116.2563333,33.8861667
-119.3956667,34.2901667
-104.2886755,31.68644928
-151.4097,63.1904
-152.5562,60.0783
-123.4195,43.1005
-123.11866666666667,47.115
-69.9048,-18.895
-121.3756667,35.8105
-153.5242,58.8621
-116.8783333,33.8523333
-118.8401667,37.4751667
-153.3721,63.3123
-165.5087,53.5125
-117.5185,35.6855
-116.2561667,33.8878333
-66.9016666666667,17.914
-117.5611667,35.7213333
-152.3119,61.4125
-115.5486667,32.7878333
-151.6698,62.3799
-146.8461,61.1763
-140.7593,61.5392
-150.4755,63.2821
-122.7541667,38.7958333
-122.815,38.8325
-177.4018,-25.3566
-146.6201,61.4135
168.2143,-16.6312
-166.2106,53.5532
-148.0001,64.4283
-170.2505,52.2751
-170.1492,52.2405
-150.7724,61.172
-151.3978,62.6576
-122.2051667,37.3338333
-115.566,32.7801667
-119.5696667,34.9101667
-151.5692,58.0414
127.1036,9.0601
168.2483,-16.639
-117.8328333,33.8641667
-152.2031,58.6154
-68.4039,-19.6627
-120.8503333,36.264
-140.6547,61.5339
-151.1984,62.6019
-150.4639,62.6692
-104.0181611,31.55498527
-167.9333,52.7082
-145.2454,63.3296
-116.4188333,33.0173333
-118.0549,38.8845
-173.0788,-15.8651
-154.431,58.9796
-152.5495,59.1061
-122.7396698,38.777668
117.2066,-7.5925
-152.136,62.1106
-146.5412,61.6871
-117.3163333,35.5526667
-151.7984,61.7585
-156.0298,57.2142
-122.2045,37.3333333
-122.2048333,37.3345
-117.6653333,35.9355
-155.406,19.3676666666667
-150.7657,62.8919
-151.1615,60.8155
-103.9838378,31.63300351
-122.43366666666667,46.50716666666667
-122.8546667,38.826
-152.3649,61.029
-179.7688,-23.6465
-152.9852,60.3305
